Veri Seti,Hedef,Algoritma,Base_Train_R2,Base_Test_R2,Base_Train_RMSE,Base_Test_RMSE,Base_Train_MAPE,Base_Test_MAPE,SMOGN_Train_R2,SMOGN_Test_R2,SMOGN_Train_RMSE,SMOGN_Test_RMSE,SMOGN_Train_MAPE,SMOGN_Test_MAPE,STGP-EF_Train_R2,STGP-EF_Test_R2,STGP-EF_Train_RMSE,STGP-EF_Test_RMSE,STGP-EF_Train_MAPE,STGP-EF_Test_MAPE,SMOGN+STGP-EF_Train_R2,SMOGN+STGP-EF_Test_R2,SMOGN+STGP-EF_Train_RMSE,SMOGN+STGP-EF_Test_RMSE,SMOGN+STGP-EF_Train_MAPE,SMOGN+STGP-EF_Test_MAPE,Max_Test_R2,Max_Senaryo
Doymuş Buhar,v sıvı (çıktı),KNN,0.995384,0.999168,0.067943,0.028569,0.035027,0.244629,0.998229,0.996393,0.054005,0.059490,0.050988,1.774218,0.995427,0.999124,0.067626,0.029317,0.042497,0.247796,0.998393,0.994954,0.051446,0.070365,0.048207,1.804853,0.999168,Base
Doymuş Buhar,v sıvı (çıktı),LightGBM,0.884245,0.934564,0.340227,0.253392,0.192252,0.199776,0.949471,0.885157,0.288452,0.335688,0.269878,11.435768,0.949132,0.971037,0.225540,0.168581,0.158666,1.317551,0.983870,0.936221,0.162976,0.250163,0.121035,1.991720,0.971037,STGP-EF
Doymuş Buhar,v sıvı (çıktı),RF,0.999661,0.999379,0.018410,0.024684,0.016782,0.206594,0.999763,0.998032,0.019774,0.043938,0.016134,2.030435,0.999648,0.999315,0.018756,0.025925,0.016563,0.057790,0.999711,0.997347,0.021817,0.051018,0.021286,0.984765,0.999379,Base
Doymuş Buhar,v sıvı (çıktı),XGBoost,0.999996,0.996649,0.001992,0.057339,0.003383,0.399293,0.999997,0.991134,0.002157,0.093273,0.002378,3.073502,0.999997,0.996547,0.001663,0.058207,0.002779,0.387362,0.999998,0.989016,0.001824,0.103815,0.001664,3.066248,0.996649,Base
Kızgın Buhar,h (çıktı),AdaBoost,0.966800,0.966166,0.182208,0.196692,0.581908,1.484726,0.981862,0.963194,0.166090,0.205148,0.342606,1.450786,0.994062,0.992744,0.077059,0.091086,0.401467,0.520916,0.998067,0.992162,0.054222,0.094672,0.091577,0.388478,0.992744,STGP-EF
Kızgın Buhar,h (çıktı),CatBoost,0.999377,0.997979,0.024957,0.048077,0.077162,0.200619,0.999429,0.995453,0.029477,0.072109,0.042426,0.579421,0.999737,0.998913,0.016221,0.035260,0.067100,0.128277,0.999654,0.997174,0.022938,0.056843,0.042581,0.417653,0.998913,STGP-EF
Kızgın Buhar,h (çıktı),DART,0.975605,0.960409,0.156189,0.212767,0.312494,0.465923,0.982100,0.958954,0.164996,0.216642,0.174069,0.749465,0.985211,0.975661,0.121612,0.166826,0.106955,0.128423,0.987051,0.983730,0.140333,0.136394,0.102751,0.250619,0.983730,SMOGN+STGP-EF
Kızgın Buhar,h (çıktı),EF,1.000000,0.999512,0.000000,0.023612,0.000000,0.039743,1.000000,0.998853,0.000000,0.036210,0.000000,0.063442,1.000000,0.999500,0.000000,0.023916,0.000000,0.045118,1.000000,0.998857,0.000000,0.036154,0.000000,0.061008,0.999512,Base
Kızgın Buhar,h (çıktı),ET,1.000000,0.999370,0.000000,0.026847,0.000000,0.049406,1.000000,0.997129,0.000000,0.057292,0.000000,0.112092,1.000000,0.999286,0.000000,0.028579,0.000000,0.077136,1.000000,0.998175,0.000000,0.045685,0.000000,0.083800,0.999370,Base
Kızgın Buhar,h (çıktı),GBDT,0.999372,0.997700,0.025060,0.051283,0.087988,0.215578,0.999627,0.994076,0.023805,0.082301,0.046880,0.665047,0.999947,0.998920,0.007287,0.035141,0.023789,0.115838,0.999904,0.996993,0.012076,0.058634,0.014443,0.174292,0.998920,STGP-EF
