iter	RMSE
0	1.179115275
1	1.058207002
2	0.9471969778
3	0.8537640794
4	0.7777975876
5	0.7056895135
6	0.6414054685
7	0.5826148879
8	0.5311398
9	0.488925897
10	0.4517794017
11	0.4222473377
12	0.3941610042
13	0.3708416631
14	0.3499686922
15	0.3348115534
16	0.3197319957
17	0.3075951079
18	0.2985737415
19	0.2887284875
20	0.280740982
21	0.2746727508
22	0.2690414711
23	0.2646033895
24	0.2594090344
25	0.2554318607
26	0.251727844
27	0.2479192519
28	0.2457066375
29	0.2431716544
30	0.2408253529
31	0.2386521347
32	0.2354984062
33	0.2327602992
34	0.2310640531
35	0.2301107785
36	0.2288898346
37	0.2264346843
38	0.2256691953
39	0.2241026414
40	0.2225671053
41	0.2206574746
42	0.2196654665
43	0.2185567873
44	0.2174162342
45	0.21641503
46	0.2149880813
47	0.2138434087
48	0.2128522244
49	0.2122626966
50	0.2109104319
51	0.2092147579
52	0.2080187272
53	0.2068442091
54	0.2054876037
55	0.2043209424
56	0.2036644959
57	0.2029920003
58	0.2015189052
59	0.2009602692
60	0.2000117872
61	0.1989136253
62	0.1975250236
63	0.1964128378
64	0.1953626853
65	0.194659849
66	0.1940577321
67	0.1917802533
68	0.1909186908
69	0.1878042927
70	0.1872317381
71	0.1864777796
72	0.1845218161
73	0.1839267756
74	0.1826879253
75	0.1817399945
76	0.1807469012
77	0.1800472492
78	0.1795996655
79	0.1788428322
80	0.1780983081
81	0.177541031
82	0.1768222822
83	0.1747618053
84	0.1739630586
85	0.1737343159
86	0.1731694333
87	0.1722316165
88	0.1720196901
89	0.1715270903
90	0.1698842944
91	0.1689236561
92	0.1687344677
93	0.1685565737
94	0.167697248
95	0.167185801
96	0.166548378
97	0.1655263895
98	0.1650276345
99	0.1641821964
100	0.163769113
101	0.163329348
102	0.1629342255
103	0.1624621013
104	0.1619318362
105	0.1617413488
106	0.1612036134
107	0.1606687436
108	0.1594781635
109	0.158941032
110	0.1574142786
111	0.156989341
112	0.1563033811
113	0.1549932813
114	0.1543099511
115	0.1539353154
116	0.1533080007
117	0.1529014947
118	0.1512627863
119	0.150937687
120	0.1504577405
121	0.1501758752
122	0.1484080681
123	0.1482808218
124	0.1476200845
125	0.1464346109
126	0.1459305258
127	0.1450815767
128	0.1438327505
129	0.1433314425
130	0.1428545684
131	0.1425964346
132	0.1423486167
133	0.1420129434
134	0.141714716
135	0.1415844545
136	0.1409451097
137	0.1402211795
138	0.1401072711
139	0.139508355
140	0.1385054791
141	0.1374915104
142	0.1371957289
143	0.1368172369
144	0.1364489053
145	0.1361977416
146	0.1359102348
147	0.1354026926
148	0.1350992161
149	0.1348223471
150	0.1340535395
151	0.1331304424
152	0.1329574565
153	0.1328097889
154	0.1323878397
155	0.1321174125
156	0.1315793585
157	0.131330802
158	0.1310959941
159	0.1304557292
160	0.1296815871
161	0.1294727307
162	0.1292874522
163	0.1290529977
164	0.1288237621
165	0.1285990474
166	0.1283462668
167	0.1281427667
168	0.1276323893
169	0.1270031854
170	0.126704182
171	0.1265232391
172	0.1259494206
173	0.125370126
174	0.1251666991
175	0.1248833237
176	0.1247424843
177	0.1242401189
178	0.1240858395
179	0.1238667911
180	0.1233618011
181	0.1232068712
182	0.1230737253
183	0.1228257921
184	0.1226341911
185	0.1218969683
186	0.1214652489
187	0.121270102
188	0.1208745357
189	0.1207259253
190	0.1205860675
191	0.1200196508
192	0.119877216
193	0.1197577707
194	0.1193134343
195	0.1190564473
196	0.118860973
197	0.1186562801
198	0.1184497116
199	0.1180549856
